r,t,y,NewCapacity
REGION1,DEMRESBIO,2029,15.2929
REGION1,DEMRESBIO,2030,15.4444
REGION1,DEMRESBIO,2031,15.596
REGION1,DEMRESBIO,2032,15.7475
REGION1,DEMRESBIO,2033,15.8586
REGION1,DEMRESBIO,2034,15.9798
REGION1,DEMRESBIO,2035,16.0707
REGION1,DEMRESBIO,2036,16.1212
REGION1,DEMRESBIO,2037,16.1515
REGION1,DEMRESBIO,2038,16.1616
REGION1,DEMRESBIO,2039,16.1414
REGION1,DEMRESBIO,2040,16.1212
REGION1,DEMRESBIO,2041,16.0667
REGION1,DEMRESBIO,2042,16.1515
REGION1,DEMRESBIO,2043,16.2374
REGION1,DEMRESBIO,2044,16.3232
REGION1,DEMRESBIO,2045,16.4081
REGION1,DEMRESBIO,2046,16.4939
REGION1,DEMRESBIO,2047,16.5788
REGION1,DEMRESBIO,2048,16.6646
REGION1,DEMRESBIO,2049,16.7505
REGION1,DEMRESBIO,2050,16.8354
REGION1,DEMRESELCB02,2020,107.5678
REGION1,DEMRESELCB02,2021,109.9656
REGION1,DEMRESELCB02,2022,112.2478
REGION1,DEMRESELCB02,2023,114.7756
REGION1,DEMRESELCB02,2024,117.1011
REGION1,DEMRESELCB02,2025,119.4267
REGION1,DEMRESELCB02,2026,121.6222
REGION1,DEMRESELCB02,2027,123.5867
REGION1,DEMRESELCB02,2028,125.0456
REGION1,DEMRESELCB02,2029,126.3889
REGION1,DEMRESELCB02,2030,127.7322
REGION1,DEMRESELCB02,2031,128.8589
REGION1,DEMRESELCB02,2032,130.0
REGION1,DEMRESELCB02,2033,131.3144
REGION1,DEMRESELCB02,2034,132.1667
REGION1,DEMRESELCB02,2035,132.9178
REGION1,DEMRESELCB02,2036,133.6111
REGION1,DEMRESELCB02,2037,134.29
REGION1,DEMRESELCB02,2038,135.0411
REGION1,DEMRESELCB02,2039,135.7489
REGION1,DEMRESELCB02,2040,136.3844
REGION1,DEMRESELCB02,2041,137.6426
REGION1,DEMRESELCB02,2042,138.4919
REGION1,DEMRESELCB02,2043,139.3398
REGION1,DEMRESELCB02,2044,140.1877
REGION1,DEMRESELCB02,2045,141.037
REGION1,DEMRESELCB02,2046,141.8849
REGION1,DEMRESELCB02,2047,142.7342
REGION1,DEMRESELCB02,2048,143.5821
REGION1,DEMRESELCB02,2049,144.4314
REGION1,DEMRESELCB02,2050,145.2793
REGION1,DEMRESKER,2020,0.8485
REGION1,DEMRESKER,2021,0.8586
REGION1,DEMRESKER,2022,0.8687
REGION1,DEMRESKER,2023,0.8788
REGION1,DEMRESKER,2024,0.8788
REGION1,DEMRESKER,2025,0.8788
REGION1,DEMRESKER,2026,0.8889
REGION1,DEMRESKER,2027,0.8889
REGION1,DEMRESKER,2028,0.8889
REGION1,DEMRESKER,2029,0.8889
REGION1,DEMRESKER,2030,0.8889
REGION1,DEMRESKER,2031,0.8889
REGION1,DEMRESKER,2032,0.8889
REGION1,DEMRESKER,2033,0.8889
REGION1,DEMRESKER,2034,0.8889
REGION1,DEMRESKER,2035,0.8889
REGION1,DEMRESKER,2036,0.8889
