r,t,y,CapitalInvestment
REGION1,DEMPWRHYD,2048,3.5088
REGION1,DEMPWRHYD,2049,3.5192
REGION1,DEMPWRHYD,2050,3.5296
REGION1,DEMPWRSOL,2020,0.0004
REGION1,DEMPWRSOL,2021,0.0004
REGION1,DEMPWRSOL,2022,0.0004
REGION1,DEMPWRSOL,2023,0.0004
REGION1,DEMPWRSOL,2024,0.0004
REGION1,DEMPWRSOL,2025,0.0004
REGION1,DEMPWRSOL,2026,0.0004
REGION1,DEMPWRSOL,2027,0.0004
REGION1,DEMPWRSOL,2028,0.0004
REGION1,DEMPWRSOL,2029,0.0004
REGION1,DEMPWRSOL,2030,0.0004
REGION1,DEMPWRSOL,2031,0.0004
REGION1,DEMPWRSOL,2032,0.0004
REGION1,DEMPWRSOL,2033,0.0004
REGION1,DEMPWRSOL,2034,0.0004
REGION1,DEMPWRSOL,2035,0.0004
REGION1,DEMPWRSOL,2036,0.0004
REGION1,DEMPWRSOL,2037,0.0004
REGION1,DEMPWRSOL,2038,0.0004
REGION1,DEMPWRSOL,2039,0.0004
REGION1,DEMPWRSOL,2040,0.0004
REGION1,DEMPWRWND,2020,0.6573
REGION1,DEMPWRWND,2021,0.7661
REGION1,DEMPWRWND,2022,0.8716
REGION1,DEMPWRWND,2023,0.9858
REGION1,DEMPWRWND,2024,1.1276
REGION1,DEMPWRWND,2025,1.1276
REGION1,DEMPWRWND,2026,1.1742
REGION1,DEMPWRWND,2027,1.2666
REGION1,DEMPWRWND,2028,1.3315
REGION1,DEMPWRWND,2029,1.3942
REGION1,DEMPWRWND,2030,1.5121
REGION1,DEMPWRWND,2031,1.6427
REGION1,DEMPWRWND,2032,1.7721
REGION1,DEMPWRWND,2033,1.8509
REGION1,DEMPWRWND,2034,1.8957
REGION1,DEMPWRWND,2035,1.9433
REGION1,DEMPWRWND,2036,2.0003
REGION1,DEMPWRWND,2037,2.0566
REGION1,DEMPWRWND,2038,2.1337
REGION1,DEMPWRWND,2039,2.1995
REGION1,DEMPWRWND,2040,2.2804
REGION1,DEMPWRWND,2041,2.3508
REGION1,DEMPWRWND,2042,2.4233
REGION1,DEMPWRWND,2043,2.4866
REGION1,DEMPWRWND,2044,2.559
REGION1,DEMPWRWND,2045,2.6302
REGION1,DEMPWRWND,2046,2.7027
REGION1,DEMPWRWND,2047,2.7753
REGION1,DEMPWRWND,2048,2.8478
REGION1,DEMPWRWND,2049,2.9203
REGION1,DEMPWRWND,2050,2.9929
REGION1,DEMRESBIO,2020,0.1311
REGION1,DEMRESBIO,2021,0.1336
REGION1,DEMRESBIO,2022,0.1359
REGION1,DEMRESBIO,2023,0.1386
REGION1,DEMRESBIO,2024,0.1414
REGION1,DEMRESBIO,2025,0.144
REGION1,DEMRESBIO,2026,0.1466
REGION1,DEMRESBIO,2027,0.1487
REGION1,DEMRESBIO,2028,0.1509
REGION1,DEMRESBIO,2029,0.1529
REGION1,DEMRESBIO,2030,0.1544
REGION1,DEMRESBIO,2031,0.156
REGION1,DEMRESBIO,2032,0.1575
REGION1,DEMRESBIO,2033,0.1586
REGION1,DEMRESBIO,2034,0.1598
REGION1,DEMRESBIO,2035,0.1607
REGION1,DEMRESBIO,2036,0.1612
REGION1,DEMRESBIO,2037,0.1615
REGION1,DEMRESBIO,2038,0.1616
REGION1,DEMRESBIO,2039,0.1614
REGION1,DEMRESBIO,2040,0.1612
REGION1,DEMRESBIO,2041,0.1607
REGION1,DEMRESBIO,2042,0.1615
REGION1,DEMRESBIO,2043,0.1624
REGION1,DEMRESBIO,2044,0.1632
REGION1,DEMRESBIO,2045,0.1641
REGION1,DEMRESBIO,2046,0.1649
REGION1,DEMRESBIO,2047,0.1658
REGION1,DEMRESBIO,2048,0.1666
REGION1,DEMRESBIO,2049,0.1675
REGION1,DEMRESBIO,2050,0.1684
REGION1,DEMRESELCB02,2020,1.0757
REGION1,DEMRESELCB02,2021,1.0997
REGION1,DEMRESELCB02,2022,1.1225
REGION1,DEMRESELCB02,2023,1.1478
REGION1,DEMRESELCB02,2024,1.171
REGION1,DEMRESELCB02,2025,1.1943
REGION1,DEMRESELCB02,2026,1.2162
REGION1,DEMRESELCB02,2027,1.2359
REGION1,DEMRESELCB02,2028,1.2505
REGION1,DEMRESELCB02,2029,1.2639
REGION1,DEMRESELCB02,2030,1.2773
REGION1,DEMRESELCB02,2031,1.2886
REGION1,DEMRESELCB02,2032,1.3
REGION1,DEMRESELCB02,2033,1.3131
REGION1,DEMRESELCB02,2034,1.3217
REGION1,DEMRESELCB02,2035,1.3292
REGION1,DEMRESELCB02,2036,1.3361
REGION1,DEMRESELCB02,2037,1.3429
REGION1,DEMRESELCB02,2038,1.3504
REGION1,DEMRESELCB02,2039,1.3575
REGION1,DEMRESELCB02,2040,1.3638
REGION1,DEMRESELCB02,2041,1.3764
REGION1,DEMRESELCB02,2042,1.3849
REGION1,DEMRESELCB02,2043,1.3934
REGION1,DEMRESELCB02,2044,1.4019
REGION1,DEMRESELCB02,2045,1.4104
REGION1,DEMRESELCB02,2046,1.4188
REGION1,DEMRESELCB02,2047,1.4273
REGION1,DEMRESELCB02,2048,1.4358
REGION1,DEMRESELCB02,2049,1.4443
REGION1,DEMRESELCB02,2050,1.4528
REGION1,DEMRESKER,2020,0.0085
REGION1,DEMRESKER,2021,0.0086
REGION1,DEMRESKER,2022,0.0087
REGION1,DEMRESKER,2023,0.0088
REGION1,DEMRESKER,2024,0.0088
REGION1,DEMRESKER,2025,0.0088
REGION1,DEMRESKER,2026,0.0089
REGION1,DEMRESKER,2027,0.0089
REGION1,DEMRESKER,2028,0.0089
REGION1,DEMRESKER,2029,0.0089
REGION1,DEMRESKER,2030,0.0089
REGION1,DEMRESKER,2031,0.0089
REGION1,DEMRESKER,2032,0.0089
REGION1,DEMRESKER,2033,0.0089
REGION1,DEMRESKER,2034,0.0089
REGION1,DEMRESKER,2035,0.0089
REGION1,DEMRESKER,2036,0.0089
REGION1,DEMRESKER,2037,0.0088
REGION1,DEMRESKER,2038,0.0088
REGION1,DEMRESKER,2039,0.0088
REGION1,DEMRESKER,2040,0.0087
REGION1,DEMRESNGS,2020,0.8279
REGION1,DEMRESNGS,2021,0.8413
REGION1,DEMRESNGS,2022,0.854
REGION1,DEMRESNGS,2023,0.8694
REGION1,DEMRESNGS,2024,0.8854
REGION1,DEMRESNGS,2025,0.8997
REGION1,DEMRESNGS,2026,0.9124
REGION1,DEMRESNGS,2027,0.9232
REGION1,DEMRESNGS,2028,0.9341
REGION1,DEMRESNGS,2029,0.9432
REGION1,DEMRESNGS,2030,0.9502
REGION1,DEMRESNGS,2031,0.9576
REGION1,DEMRESNGS,2032,0.9647
REGION1,DEMRESNGS,2033,0.9698
REGION1,DEMRESNGS,2034,0.9755
REGION1,DEMRESNGS,2035,0.9794
REGION1,DEMRESNGS,2036,0.9818
REGION1,DEMRESNGS,2037,0.9832
REGION1,DEMRESNGS,2038,0.9833
REGION1,DEMRESNGS,2039,0.9827
REGION1,DEMRESNGS,2040,0.9815
REGION1,DEMRESNGS,2041,1.0051
REGION1,DEMRESNGS,2042,1.0121
REGION1,DEMRESNGS,2043,1.019
REGION1,DEMRESNGS,2044,1.026
REGION1,DEMRESNGS,2045,1.033
REGION1,DEMRESNGS,2046,1.0399
REGION1,DEMRESNGS,2047,1.0469
REGION1,DEMRESNGS,2048,1.0538
REGION1,DEMRESNGS,2049,1.0608
REGION1,DEMRESNGS,2050,1.0678
REGION1,DEMTRABIO,2020,0.2357
REGION1,DEMTRABIO,2021,0.2323
REGION1,DEMTRABIO,2022,0.229
REGION1,DEMTRABIO,2023,0.2256
REGION1,DEMTRABIO,2024,0.2226
REGION1,DEMTRABIO,2025,0.2204
REGION1,DEMTRABIO,2026,0.2187
REGION1,DEMTRABIO,2027,0.2173
REGION1,DEMTRABIO,2028,0.2156
REGION1,DEMTRABIO,2029,0.2135
REGION1,DEMTRABIO,2030,0.2116
REGION1,DEMTRABIO,2031,0.2096
REGION1,DEMTRABIO,2032,0.2078
REGION1,DEMTRABIO,2033,0.2055
REGION1,DEMTRABIO,2034,0.2028
REGION1,DEMTRABIO,2035,0.2001
REGION1,DEMTRABIO,2036,0.1973
REGION1,DEMTRABIO,2037,0.1944
REGION1,DEMTRABIO,2038,0.1916
REGION1,DEMTRABIO,2039,0.1889
REGION1,DEMTRABIO,2040,0.1863
REGION1,DEMTRABIO,2041,0.1852
REGION1,DEMTRABIO,2042,0.1828
REGION1,DEMTRABIO,2043,0.1805
REGION1,DEMTRABIO,2044,0.1781
REGION1,DEMTRABIO,2045,0.1758
REGION1,DEMTRABIO,2046,0.1734
REGION1,DEMTRABIO,2047,0.1711
REGION1,DEMTRABIO,2048,0.1687
REGION1,DEMTRABIO,2049,0.1663
REGION1,DEMTRABIO,2050,0.164
REGION1,DEMTRADSL,2020,0.9981
REGION1,DEMTRADSL,2021,0.9857
REGION1,DEMTRADSL,2022,0.9703
REGION1,DEMTRADSL,2023,0.9575
REGION1,DEMTRADSL,2024,0.948
REGION1,DEMTRADSL,2025,0.9435
REGION1,DEMTRADSL,2026,0.9413
REGION1,DEMTRADSL,2027,0.9401
REGION1,DEMTRADSL,2028,0.9338
REGION1,DEMTRADSL,2029,0.9282
REGION1,DEMTRADSL,2030,0.9239
